ticker,ts,outcome_ms,label,pnl,features
KXBTC15M-26AUG220800-00,1787399220000,1787399520000,0,-0.55,"[0.7620384047650196,0.7620384047650196,1,0.8666666666666667,13.33333333333333,1.312484076135282,0,17.9473499899951,0.7335787999199608,0.59,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.2727675692694303,0.4554812939827846,0.5,0,0,100]"
KXBTC15M-26AUG220900-00,1787402880000,1787403120000,0,-0.87,"[0.49884587731744345,0.49884587731744345,1,0.8,19.999999999999996,0.9325925194154815,0,15.636634826573292,0.7250930786125863,0.6,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.1475650507965926,0.161888833399515,0,-0.5499999999999972,-1,99.45]"
KXBTC15M-26AUG230330-30,1787469480000,1787469780000,0,-0.75,"[0.6125850907301826,0.6125850907301826,1,0.8,19.999999999999996,1.258964187494276,0,15.847904716428538,0.7067832377314283,0.58,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.15201388610009087,0.10755691952575308,0,-1.4200000000000017,-2,98.58]"
KXBTC15M-26AUG231700-00,1787518140000,1787518380000,0,-0.26000000000000023,"[0.13393848903945751,0.13393848903945751,1,0.7333333333333333,26.66666666666667,0.3559273028975408,0,27.47829059585543,0.6698263247668435,0.45,4,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.0962561594937285,0.16409874848510864,0,-2.1700000000000017,-3,97.83]"
KXBTC15M-26AUG250130-30,1787635140000,1787635620000,1,0.6699999999999999,"[0.6949190933368038,0.6949190933368038,1,0.7333333333333333,26.66666666666667,1.59854747482095,0,16.768497278766393,0.6941479782301312,0.56,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.20447051108210068,0.36273818821708215,0,-2.430000000000007,-4,97.57]"
KXBTC15M-26AUG251045-45,1787668440000,1787668680000,1,0.040000000000000036,"[1.211038584519643,1.211038584519643,1,0.7333333333333333,26.66666666666667,1.9758513627403536,0,16.61536929256348,0.7629229543405078,0.63,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.5298753335866657,0.8208803497001149,0.2,-1.7600000000000051,1,98.24]"
KXBTC15M-26AUG260500-00,1787734080000,1787734380000,1,0.45399999999999996,"[-0.7214013192134505,0.7214013192134505,0,0.8,19.999999999999996,1.0897433824941254,0,16.298669393175327,0.7703893551454026,0.64,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.04152072068007158,-0.16404787207124905,0.3333333333333333,-1.7199999999999989,2,98.28]"
KXBTC15M-26AUG260730-30,1787743020000,1787743320000,0,-0.30000000000000016,"[0.6016071068430974,0.6016071068430974,1,0.8666666666666667,13.33333333333333,0.992717865737878,0,16.55839864283283,0.7424671891426626,0.61,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.04453069252920396,0.031189645495066642,0.42857142857142855,-1.2660000000000053,3,98.734]"
KXBTC15M-26AUG261630-30,1787775540000,1787775720000,1,0.5599999999999998,"[-0.3336667025365587,0.3336667025365587,0,0.7333333333333333,26.66666666666667,0.7911849408630343,0,16.10102362043822,0.6888081889635058,0.56,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.02965256653086455,-0.07004811984653303,0.375,-1.5660000000000025,-1,98.434]"
KXBTC15M-26AUG261715-15,1787778060000,1787778420000,1,0.55,"[0.2024272402819584,0.2024272402819584,1,0.9333333333333333,6.666666666666665,0.5234540128378758,0,15.690946273513294,0.6555275701881064,0.53,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.06672056286667218,0.08834796700181169,0.4444444444444444,-1.0060000000000002,1,98.994]"
KXBTC15M-26AUG261845-45,1787783580000,1787783880000,1,0.44999999999999996,"[-1.450640050200355,1.450640050200355,0,0.8,19.999999999999996,2.01987677671794,1,15.899893707445855,0.7889989370744586,0.63,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.026247328740346285,-0.1265643205358824,0.5,-0.45600000000000307,2,99.544]"
KXBTC15M-26AUG262130-30,1787793480000,1787793900000,0,-1.31,"[-0.9422242287754251,0.9422242287754251,0,0.8,19.999999999999996,1.3094191057891928,0,19.931045418921904,0.7894483633513752,0.63,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.1744888172591519,-0.22725184068532744,0.5454545454545454,-0.006000000000000227,3,99.994]"
KXBTC15M-26AUG262230-30,1787797140000,1787797500000,1,0.9699999999999998,"[-0.8238912488906529,0.8238912488906529,0,0.7333333333333333,26.66666666666667,1.0902175651097914,0,27.655251977719757,0.8112420158217581,0.5900000000000001,4,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.01792793180782085,-0.11180533553006855,0.5,-1.3160000000000025,-1,98.684]"
KXBTC15M-26AUG271845-45,1787869920000,1787870280000,1,0.6499999999999999,"[-0.6434069168735385,0.6434069168735385,0,0.8666666666666667,13.33333333333333,1.0504174794098085,0,17.471729846130213,0.7447172984613022,0.5700000000000001,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.07623657424968902,-0.059036091885478204,0.5384615384615384,-0.34600000000000364,1,99.654]"
KXBTC15M-26AUG280245-45,1787898720000,1787899080000,0,-0.8900000000000001,"[-0.40729157116861714,0.40729157116861714,0,0.8666666666666667,13.33333333333333,0.671717155546004,0,15.257938194322696,0.742579381943227,0.5900000000000001,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.03347784115480139,0.016729606327925417,0.5714285714285714,0.30400000000000205,2,100.304]"
KXBTC15M-26AUG291945-45,1788046320000,1788046800000,1,0.07999999999999985,"[0.24051981930587452,0.24051981930587452,1,0.8666666666666667,13.33333333333333,0.7803347173895263,0,17.46388234554147,0.6297110587643318,0.49,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.04959355358083512,0.04293616380524057,0.5333333333333333,-0.5859999999999985,-1,99.414]"
KXBTC15M-26AUG292115-15,1788051720000,1788052140000,1,0.4999999999999998,"[-0.35833937705991203,0.35833937705991203,0,0.8666666666666667,13.33333333333333,0.5662113950488378,0,17.711105249312894,0.7516888419945031,0.61,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.0419756922265301,-0.09326553081341338,0.5625,-0.5060000000000002,1,99.494]"
KXBTC15M-26AUG300145-45,1788067860000,1788068040000,1,0.6200000000000006,"[-0.08420074173433753,0.08420074173433753,0,0.9333333333333333,6.666666666666665,0.12182493429937089,0,15.169525861836743,0.7628254310306124,0.51,5,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,1,0.0284083514320374,0.03872755961964458,0.5882352941176471,-0.006000000000000227,2,99.994]"
KXBTC15M-26AUG300200-00,1788068760000,1788069240000,0,-0.030000000000000027,"[-0.10328370510783336,0.10328370510783336,0,0.9333333333333333,6.666666666666665,0.3007920463978796,0,15.886405340870823,0.6388640534087082,0.48,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.000045488165271698944,-0.025311593003918276,0.6111111111111112,0.6140000000000043,3,100.614]"
KXBTC15M-26AUG300215-15,1788069720000,1788069900000,0,-1.4400000000000004,"[-0.17751582284163916,0.17751582284163916,0,0.8666666666666667,13.33333333333333,0.10470041964327395,0,41.50802080384911,0.9620641664307928,0.63,7,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.006893818311338149,-0.025582288200676206,0.5789473684210527,0.5840000000000032,-1,100.584]"
KXBTC15M-26AUG301400-00,1788112020000,1788112440000,0,-1.4600000000000002,"[0.5205444231649027,0.5205444231649027,1,0.8666666666666667,13.33333333333333,0.6654872403632,0,17.960699062520213,0.7996069906252021,0.62,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.018984311629029978,0.02471720681900269,0.55,-0.8559999999999945,-2,99.144]"
KXBTC15M-26AUG302045-45,1788136320000,1788136620000,1,0.56,"[0.6839826739794124,0.6839826739794124,1,0.8666666666666667,13.33333333333333,1.328386523764258,0,16.237326578920616,0.7098986126313649,0.58,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.24949918753996306,0.355266701719148,0.5238095238095238,-2.3159999999999883,-3,97.68400000000001]"
KXBTC15M-26AUG302115-15,1788138120000,1788138360000,0,-0.8,"[0.795667462334129,0.795667462334129,1,0.8666666666666667,13.33333333333333,1.333768232916561,0,16.14687918072513,0.739175033445801,0.61,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.07397964867563728,0.04363053798979166,0.5454545454545454,-1.755999999999986,1,98.24400000000001]"
KXBTC15M-26AUG302245-45,1788143460000,1788143820000,0,-0.7600000000000001,"[0.6001545272687706,0.6001545272687706,1,0.9333333333333333,6.666666666666665,1.1204110790890003,0,16.295840441499344,0.7103667235319947,0.58,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.13529505931615396,0.4253802526424266,0.5217391304347826,-2.555999999999983,-1,97.44400000000002]"
KXBTC15M-26AUG310600-00,1788169680000,1788169920000,0,-0.9000000000000001,"[0.6703675429237995,0.6703675429237995,1,0.8,19.999999999999996,1.3809374875308242,0,19.54331662251413,0.7063465329801131,0.55,3,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.17598915313372102,0.033036848792877826,0.5,-3.3159999999999883,-2,96.68400000000001]"
KXBTC15M-26AUG311800-00,1788212760000,1788213060000,0,-0.5800000000000001,"[0.6038717645659535,0.6038717645659535,1,0.9333333333333333,6.666666666666665,0.8501567998615815,0,26.112807859539583,0.7689024628763167,0.56,4,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.19330067311733548,0.2845392398445723,0.48,-4.215999999999994,-3,95.784]"
