ticker,ts,outcome_ms,label,pnl,features
KXBTC15M-26AUG160645-45,1786876260000,1786877100000,0,-0.88,"[1.0557320051710546,1.0557320051710546,1,0.9333333333333333,6.666666666666665,0.23099450736238664,0,57.00000000000001,0.99,0.42,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.0023332509100685325,0.06369856650434436,0.5,0,0,100]"
KXBTC15M-26AUG160700-00,1786877160000,1786877940000,0,-0.445,"[1.0654336065340293,1.0654336065340293,1,0.9333333333333333,6.666666666666665,0.1,0,63.75,0.99,0.48,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.009726610097341241,0.032990520861253536,0,-0.8799999999999955,-1,99.12]"
KXBTC15M-26AUG160715-15,1786878060000,1786878300000,1,0.06999999999999995,"[1.0958126673529518,1.0958126673529518,1,0.9333333333333333,6.666666666666665,0.1,0,40,0.99,0.59,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.00588680074083174,0,0,-1.3249999999999886,-2,98.67500000000001]"
KXBTC15M-26AUG160730-30,1786878960000,1786879200000,1,0.1599999999999998,"[1.0533799913410402,1.0533799913410402,1,0.9333333333333333,6.666666666666665,0.1,0,56.00000000000001,0.99,0.43,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.0006901734639732358,-0.003205913100390312,0.3333333333333333,-1.2549999999999955,1,98.745]"
KXBTC15M-26AUG160745-45,1786879860000,1786880400000,1,0.7399999999999999,"[0.9742429552141567,0.9742429552141567,1,0.9333333333333333,6.666666666666665,0.2264817093897242,0,31.799999999999997,0.99,0.46,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,1,0.03213749121621899,-0.042232357000382414,0.5,-1.0949999999999989,2,98.905]"
KXBTC15M-26AUG160800-00,1786880760000,1786880940000,0,-0.12000000000000002,"[1.1335574809629205,1.1335574809629205,1,0.9333333333333333,6.666666666666665,0.17358283419075102,0,51,0.99,0.48,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.0013730034559059972,-0.01496669790680416,0.6,-0.355000000000004,3,99.645]"
KXBTC15M-26AUG160815-15,1786881660000,1786882020000,1,0.19999999999999996,"[1.1948179221417932,1.1948179221417932,1,0.9333333333333333,6.666666666666665,0.32145739246957195,0,57.5,0.99,0.53,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.014785664951822526,0.0503477583656986,0.5,-0.4750000000000085,-1,99.52499999999999]"
KXBTC15M-26AUG160830-30,1786882560000,1786883400000,0,-0.92,"[1.1933229198223076,1.1933229198223076,1,0.9333333333333333,6.666666666666665,0.17134043037966537,0,66.25,0.99,0.46,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.040891029734212304,0.04487506730466162,0.5714285714285714,-0.2750000000000057,1,99.725]"
KXBTC15M-26AUG160845-45,1786883460000,1786883700000,1,0.06999999999999995,"[1.2176583817708386,1.2176583817708386,1,0.9333333333333333,6.666666666666665,0.1,0,49,0.99,0.5,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.024812736493016713,0.018535663537067038,0.5,-1.1950000000000074,-1,98.80499999999999]"
KXBTC15M-26AUG160915-15,1786885260000,1786885500000,1,0.039999999999999925,"[1.2180415030127825,1.2180415030127825,1,0.9333333333333333,6.666666666666665,0.2362615996904916,0,49,0.99,0.5,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.012302582795313115,-0.00533118901062668,0.5555555555555556,-1.1250000000000142,1,98.87499999999999]"
KXBTC15M-26AUG160930-30,1786886160000,1786886580000,1,0.11999999999999988,"[1.1204462227086807,1.1204462227086807,1,0.9333333333333333,6.666666666666665,0.31276304531259386,0,52.50000000000001,0.99,0.57,1,0.9999999999999898,0.9999999999999898,100.99999999999997,-0.9999999999999787,1,0,0,1,1,0,0.0722501634008339,0.10408304928888334,0.6,-1.085000000000008,2,98.91499999999999]"
KXBTC15M-26AUG160945-45,1786887060000,1786887300000,0,-0.040000000000000036,"[1.0745244368192224,1.0745244368192224,1,0.9333333333333333,6.666666666666665,0.20406359750018857,0,54.99999999999999,0.99,0.55,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.04999422428080735,0.06508840249068726,0.6363636363636364,-0.9650000000000034,3,99.035]"
KXBTC15M-26AUG161000-00,1786887960000,1786888380000,1,0.10999999999999993,"[1.1195861864684657,1.1195861864684657,1,0.9333333333333333,6.666666666666665,0.12070260106727983,0,51,0.99,0.48,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.031931698050675014,0.005835402945675305,0.5833333333333334,-1.0050000000000097,-1,98.99499999999999]"
KXBTC15M-26AUG161015-15,1786888860000,1786889580000,1,0.039999999999999925,"[1.0329401059831107,1.0329401059831107,1,0.9333333333333333,6.666666666666665,0.10722506407502481,0,50,0.99,0.49,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.00863036237712116,-0.004741290455567704,0.6153846153846154,-0.8950000000000102,1,99.10499999999999]"
KXBTC15M-26AUG161030-30,1786889760000,1786890120000,1,0.33599999999999997,"[1.0804035496161388,1.0804035496161388,1,0.9333333333333333,6.666666666666665,0.1,0,43.99999999999999,0.99,0.55,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.0046601895179844265,-0.0063107468848189185,0.6428571428571429,-0.855000000000004,2,99.145]"
KXBTC15M-26AUG161115-15,1786892460000,1786892880000,1,0.05999999999999994,"[1.1558265492374906,1.1558265492374906,1,0.9333333333333333,6.666666666666665,0.11142595693663294,0,50,0.99,0.59,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.028747775486577004,0.053903227852125646,0.6666666666666666,-0.5190000000000055,3,99.481]"
KXBTC15M-26AUG161130-30,1786893360000,1786893840000,1,0.06999999999999995,"[1.1111955369438475,1.1111955369438475,1,0.9333333333333333,6.666666666666665,0.15237820454469939,0,50,0.99,0.49,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,0,0.03142518937226578,0.014833385894652551,0.6875,-0.4590000000000032,4,99.541]"
KXBTC15M-26AUG161215-15,1786896060000,1786896240000,0,-0.010000000000000064,"[1.187516270875497,1.187516270875497,1,0.9333333333333333,6.666666666666665,0.22722757899145632,0,50,0.99,0.59,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.031551460167391514,0.05935643427867898,0.7058823529411765,-0.38900000000001,5,99.61099999999999]"
KXBTC15M-26AUG161300-00,1786898760000,1786899180000,0,-0.42000000000000004,"[0.9859608911668802,0.9859608911668802,1,0.9333333333333333,6.666666666666665,0.9032904421338015,0,42.59080609758146,0.8707264487806518,0.53,1,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,1,0,0.1078594307754911,0.11083530146269727,0.6666666666666666,-0.3990000000000151,-1,99.60099999999998]"
KXBTC15M-26AUG161315-15,1786899720000,1786899960000,1,0.58,"[0.9202125841405271,0.9202125841405271,1,0.8666666666666667,13.33333333333333,1.3025955152397048,0,21.961629077901954,0.7760271512983659,0.41,2,0.9999999999999953,0.9999999999999898,101,-1.0000000000000009,1,0,0,1,0,1,0.020779287039714295,-0.13023318972630316,0.631578947368421,-0.8190000000000168,-2,99.18099999999998]"
KXBTC15M-26AUG161345-45,1786901460000,1786901700000,0,-0.758,"[0.9499442578982419,0.9499442578982419,1,0.9333333333333333,6.666666666666665,0.4028073690663899,0,31.2,0.99,0.47,2,0.9999999999999953,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,1,0.09149245117307198,-0.11251767869611129,0.65,-0.23900000000001853,1,99.76099999999998]"
KXBTC15M-26AUG161400-00,1786902360000,1786902540000,1,0.2599999999999999,"[0.8689353473101397,0.8689353473101397,1,0.9333333333333333,6.666666666666665,0.8184080596435653,0,24.247004817095853,0.8641167469515976,0.46,2,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,1,0,1,0.11632787638832824,-0.15369486050585968,0.6190476190476191,-0.9970000000000141,-1,99.00299999999999]"
